type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount,type_code
Meat,310,Corporate,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25,3
Meat,400,Birthday,500,Room Temperature,Regular,Winter,Buffet,Suburban,High,40,3
Vegetables,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,4
Meat,491,Birthday,497,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,32,3
Meat,300,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25,3
Meat,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,3
Meat,240,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20,3
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25,3
Fruits,320,Corporate,400,Refrigerated,Regular,All Seasons,Buffet,Urban,High,45,2
Meat,400,Corporate,500,Refrigerated,Occasional,Winter,Finger Food,Urban,High,40,3
Fruits,320,Wedding,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,2
Meat,302,Birthday,371,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27,3
Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Low,25,3
Meat,250,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,3
Fruits,267,Corporate,393,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,24,2
Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40,3
Fruits,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20,2
Fruits,380,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35,2
Fruits,300,Birthday,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,25,2
Meat,220,Social Gathering,300,Room Temperature,Regular,Winter,Buffet,Suburban,Low,10,3
Meat,220,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,30,3
Vegetables,220,Corporate,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15,4
Meat,350,Corporate,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,3
Fruits,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40,2
Meat,320,Wedding,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25,3
Fruits,400,Wedding,500,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,40,2
Baked Goods,320,Corporate,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,0
Meat,400,Birthday,500,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40,3
Meat,208,Wedding,282,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Moderate,22,3
Meat,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20,3
Meat,380,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25,3
Meat,438,Corporate,493,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,35,3
Fruits,350,Corporate,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20,2
Meat,220,Corporate,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,15,3
Fruits,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,2
Vegetables,280,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Urban,Low,20,4
Meat,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,3
Fruits,491,Wedding,497,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,32,2
Fruits,400,Birthday,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50,2
Meat,250,Birthday,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,3
Meat,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,3
Dairy Products,439,Corporate,459,Room Temperature,Regular,Summer,Buffet,Suburban,Low,39,1
Fruits,240,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20,2
Baked Goods,300,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,20,0
Fruits,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20,2
Fruits,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,2
Meat,400,Social Gathering,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Moderate,30,3
Fruits,434,Birthday,495,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,36,2
Fruits,300,Corporate,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,15,2
Fruits,290,Social Gathering,374,Room Temperature,Regular,Winter,Finger Food,Urban,Low,27,2
Dairy Products,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,1
Meat,320,Social Gathering,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40,3
